Text,Label,CaseFold,RegRemoval,SymbolsRemoval
Untuk rakyat atau untuk mereka?,1,untuk rakyat atau untuk mereka?,untuk rakyat atau untuk mereka?,untuk rakyat atau untuk mereka?
Melindungi Pekerja!,0,melindungi pekerja!,melindungi pekerja!,melindungi pekerja!
Sudah disahkan!,0,sudah disahkan!,sudah disahkan!,sudah disahkan!
Cipta Kerja sudah disetujui DPR,0,cipta kerja sudah disetujui dpr,cipta kerja sudah disetujui dpr,cipta kerja sudah disetujui dpr
Tertib berdemokrasi,0,tertib berdemokrasi,tertib berdemokrasi,tertib berdemokrasi
$0 - $0,1,$0 - $0,$ - $,$ - $
$0 - $0,1,$0 - $0,$ - $,$ - $
Penetapan Peraturan Pemerintah Pengganti Undang-Undang Nomor 2 Tahun 2022 tentang Cipta Kerja atau Perpu Cipta Kerja oleh Presiden Joko Widodo pada tanggal 30 Desember 2022 lalu merupakan pelaksanaan dari Putusan Mahkamah Konstitusi (MK) Nomor 91/PUU-XVIII/2020 atas pengujian formil Undang-Undang Nomor 11 Tahun 2020 tentang Cipta Kerja (UU Cipta Kerja) Amar putusan MK tersebut antara lain memerintahkan kepada pembentuk undang-undang untuk melakukan perbaikan UU Cipta Kerja dalam jangka waktu paling lama 2 tahun sejak putusan MK diucapkan dan apabila dalam tenggang waktu tersebut tidak dilakukan perbaikan  maka UU Cipta Kerja menjadi inkonstitusional secara permanen Dalam rangka pelaksanaan putusan MK tersebut  telah dilakukan: a. Penetapan UU Nomor 13 Tahun 2022 tentang Perubahan Kedua Atas UU Nomor 12 Tahun 2011 tentang Pembentukan Peraturan Perundang-undangan  yang telah mengatur dan memuat metode omnibus dalam penyusunan undang-undang dan telah memperjelas partisipasi yang bermakna (meaningful participation) dalam pembentukan peraturan perundang-undangan-- Tag siapapun yang harus melihat post ini --,0,penetapan peraturan pemerintah pengganti undang-undang nomor 2 tahun 2022 tentang cipta kerja atau perpu cipta kerja oleh presiden joko widodo pada tanggal 30 desember 2022 lalu merupakan pelaksanaan dari putusan mahkamah konstitusi (mk) nomor 91/puu-xviii/2020 atas pengujian formil undang-undang nomor 11 tahun 2020 tentang cipta kerja (uu cipta kerja) amar putusan mk tersebut antara lain memerintahkan kepada pembentuk undang-undang untuk melakukan perbaikan uu cipta kerja dalam jangka waktu paling lama 2 tahun sejak putusan mk diucapkan dan apabila dalam tenggang waktu tersebut tidak dilakukan perbaikan  maka uu cipta kerja menjadi inkonstitusional secara permanen dalam rangka pelaksanaan putusan mk tersebut  telah dilakukan: a. penetapan uu nomor 13 tahun 2022 tentang perubahan kedua atas uu nomor 12 tahun 2011 tentang pembentukan peraturan perundang-undangan  yang telah mengatur dan memuat metode omnibus dalam penyusunan undang-undang dan telah memperjelas partisipasi yang bermakna (meaningful participation) dalam pembentukan peraturan perundang-undangan-- tag siapapun yang harus melihat post ini --,penetapan peraturan pemerintah pengganti undang-undang nomor  tahun  tentang cipta kerja atau perpu cipta kerja oleh presiden joko widodo pada tanggal  desember  lalu merupakan pelaksanaan dari putusan mahkamah konstitusi (mk) nomor /puu-xviii/ atas pengujian formil undang-undang nomor  tahun  tentang cipta kerja (uu cipta kerja) amar putusan mk tersebut antara lain memerintahkan kepada pembentuk undang-undang untuk melakukan perbaikan uu cipta kerja dalam jangka waktu paling lama  tahun sejak putusan mk diucapkan dan apabila dalam tenggang waktu tersebut tidak dilakukan perbaikan  maka uu cipta kerja menjadi inkonstitusional secara permanen dalam rangka pelaksanaan putusan mk tersebut  telah dilakukan: a. penetapan uu nomor  tahun  tentang perubahan kedua atas uu nomor  tahun  tentang pembentukan peraturan perundang-undangan  yang telah mengatur dan memuat metode omnibus dalam penyusunan undang-undang dan telah memperjelas partisipasi yang bermakna (meaningful participation) dalam pembentukan peraturan perundang-undangan-- tag siapapun yang harus melihat post ini --,penetapan peraturan pemerintah pengganti undang-undang nomor  tahun  tentang cipta kerja atau perpu cipta kerja oleh presiden joko widodo pada tanggal  desember  lalu merupakan pelaksanaan dari putusan mahkamah konstitusi (mk) nomor /puu-xviii/ atas pengujian formil undang-undang nomor  tahun  tentang cipta kerja (uu cipta kerja) amar putusan mk tersebut antara lain memerintahkan kepada pembentuk undang-undang untuk melakukan perbaikan uu cipta kerja dalam jangka waktu paling lama  tahun sejak putusan mk diucapkan dan apabila dalam tenggang waktu tersebut tidak dilakukan perbaikan  maka uu cipta kerja menjadi inkonstitusional secara permanen dalam rangka pelaksanaan putusan mk tersebut  telah dilakukan: a. penetapan uu nomor  tahun  tentang perubahan kedua atas uu nomor  tahun  tentang pembentukan peraturan perundang-undangan  yang telah mengatur dan memuat metode omnibus dalam penyusunan undang-undang dan telah memperjelas partisipasi yang bermakna (meaningful participation) dalam pembentukan peraturan perundang-undangan-- tag siapapun yang harus melihat post ini --
Penetapan Peraturan Pemerintah Pengganti Undang-Undang Nomor 2 Tahun 2022 tentang Cipta Kerja atau Perpu Cipta Kerja oleh Presiden Joko Widodo pada tanggal 30 Desember 2022 lalu merupakan pelaksanaan dari Putusan Mahkamah Konstitusi (MK) Nomor 91/PUU-XVIII/2020 atas pengujian formil Undang-Undang Nomor 11 Tahun 2020 tentang Cipta Kerja (UU Cipta Kerja) Amar putusan MK tersebut antara lain memerintahkan kepada pembentuk undang-undang untuk melakukan perbaikan UU Cipta Kerja dalam jangka waktu paling lama 2 tahun sejak putusan MK diucapkan dan apabila dalam tenggang waktu tersebut tidak dilakukan perbaikan  maka UU Cipta Kerja menjadi inkonstitusional secara permanen Dalam rangka pelaksanaan putusan MK tersebut  telah dilakukan: a. Penetapan UU Nomor 13 Tahun 2022 tentang Perubahan Kedua Atas UU Nomor 12 Tahun 2011 tentang Pembentukan Peraturan Perundang-undangan  yang telah mengatur dan memuat metode omnibus dalam penyusunan undang-undang dan telah memperjelas partisipasi yang bermakna (meaningful participation) dalam pembentukan peraturan perundang-undangan-- Tag siapapun yang harus melihat post ini --,0,penetapan peraturan pemerintah pengganti undang-undang nomor 2 tahun 2022 tentang cipta kerja atau perpu cipta kerja oleh presiden joko widodo pada tanggal 30 desember 2022 lalu merupakan pelaksanaan dari putusan mahkamah konstitusi (mk) nomor 91/puu-xviii/2020 atas pengujian formil undang-undang nomor 11 tahun 2020 tentang cipta kerja (uu cipta kerja) amar putusan mk tersebut antara lain memerintahkan kepada pembentuk undang-undang untuk melakukan perbaikan uu cipta kerja dalam jangka waktu paling lama 2 tahun sejak putusan mk diucapkan dan apabila dalam tenggang waktu tersebut tidak dilakukan perbaikan  maka uu cipta kerja menjadi inkonstitusional secara permanen dalam rangka pelaksanaan putusan mk tersebut  telah dilakukan: a. penetapan uu nomor 13 tahun 2022 tentang perubahan kedua atas uu nomor 12 tahun 2011 tentang pembentukan peraturan perundang-undangan  yang telah mengatur dan memuat metode omnibus dalam penyusunan undang-undang dan telah memperjelas partisipasi yang bermakna (meaningful participation) dalam pembentukan peraturan perundang-undangan-- tag siapapun yang harus melihat post ini --,penetapan peraturan pemerintah pengganti undang-undang nomor  tahun  tentang cipta kerja atau perpu cipta kerja oleh presiden joko widodo pada tanggal  desember  lalu merupakan pelaksanaan dari putusan mahkamah konstitusi (mk) nomor /puu-xviii/ atas pengujian formil undang-undang nomor  tahun  tentang cipta kerja (uu cipta kerja) amar putusan mk tersebut antara lain memerintahkan kepada pembentuk undang-undang untuk melakukan perbaikan uu cipta kerja dalam jangka waktu paling lama  tahun sejak putusan mk diucapkan dan apabila dalam tenggang waktu tersebut tidak dilakukan perbaikan  maka uu cipta kerja menjadi inkonstitusional secara permanen dalam rangka pelaksanaan putusan mk tersebut  telah dilakukan: a. penetapan uu nomor  tahun  tentang perubahan kedua atas uu nomor  tahun  tentang pembentukan peraturan perundang-undangan  yang telah mengatur dan memuat metode omnibus dalam penyusunan undang-undang dan telah memperjelas partisipasi yang bermakna (meaningful participation) dalam pembentukan peraturan perundang-undangan-- tag siapapun yang harus melihat post ini --,penetapan peraturan pemerintah pengganti undang-undang nomor  tahun  tentang cipta kerja atau perpu cipta kerja oleh presiden joko widodo pada tanggal  desember  lalu merupakan pelaksanaan dari putusan mahkamah konstitusi (mk) nomor /puu-xviii/ atas pengujian formil undang-undang nomor  tahun  tentang cipta kerja (uu cipta kerja) amar putusan mk tersebut antara lain memerintahkan kepada pembentuk undang-undang untuk melakukan perbaikan uu cipta kerja dalam jangka waktu paling lama  tahun sejak putusan mk diucapkan dan apabila dalam tenggang waktu tersebut tidak dilakukan perbaikan  maka uu cipta kerja menjadi inkonstitusional secara permanen dalam rangka pelaksanaan putusan mk tersebut  telah dilakukan: a. penetapan uu nomor  tahun  tentang perubahan kedua atas uu nomor  tahun  tentang pembentukan peraturan perundang-undangan  yang telah mengatur dan memuat metode omnibus dalam penyusunan undang-undang dan telah memperjelas partisipasi yang bermakna (meaningful participation) dalam pembentukan peraturan perundang-undangan-- tag siapapun yang harus melihat post ini --
"BEM UI menyebut meme itu bukan sebuah umpatan  melainkan kritik yang tepat""Bagi saya itu bukan sebuah umpatan  tapi itu adalah kritik yang tepat "" kata Ketua BEM UI Melki Sedek Huang saat dihubungi  Kamis (23/3/2023)Melki menegaskan meme Puan berbadan tikus adalah ekspresi puncak kemarahan mahasiswa UI terkait disahkannya Peraturan Pemerintah Pengganti Undang-Undang (Perppu) Cipta Kerja  yang dinilai sama saja substansinya dengan UU Cipta Kerjaâ€œJadi visualisasi dan berbagai hal yang kami publikasikan itu menggambarkan seluruh kemarahan kita. Bahwa orang-orang yang di dalam (DPR) itu bukan lagi mewakili kita  tapi mewakili berbagai kepentingan-kepentingan yang jelas bukan kepentingan rakyat. Sehingga tidak pantas lagi mereka menggunakan kata-kata Dewan Perwakilan Rakyat "" ucap MelkiMelki lalu bicara soal demokrasi terkait dengan meme Puan berbadan tikus. Dia berpendapat semestinya seluruh partai politik pahamâ€œIni kritik yang tepat  ranah yang demokratis  dan harusnya seluruh partai politik paham betul bahwa dalam negara demokrasi yang paling tinggi adalah kedaulatan rakyat  bukan cuma kedaulatan oligarki "" ujar Melki""Kita tidak melihat suara-suara penting terkait penolakan Cipta Kerja dikumandangkan. Malah mengesahkan produk hukum yang inkonstitusional. Itu yang sebenarnya ingin disampaikan dari publikasi tersebut "" imbuh dia Sumber: Detik",1,"bem ui menyebut meme itu bukan sebuah umpatan  melainkan kritik yang tepat""bagi saya itu bukan sebuah umpatan  tapi itu adalah kritik yang tepat "" kata ketua bem ui melki sedek huang saat dihubungi  kamis (23/3/2023)melki menegaskan meme puan berbadan tikus adalah ekspresi puncak kemarahan mahasiswa ui terkait disahkannya peraturan pemerintah pengganti undang-undang (perppu) cipta kerja  yang dinilai sama saja substansinya dengan uu cipta kerjaâ€œjadi visualisasi dan berbagai hal yang kami publikasikan itu menggambarkan seluruh kemarahan kita. bahwa orang-orang yang di dalam (dpr) itu bukan lagi mewakili kita  tapi mewakili berbagai kepentingan-kepentingan yang jelas bukan kepentingan rakyat. sehingga tidak pantas lagi mereka menggunakan kata-kata dewan perwakilan rakyat "" ucap melkimelki lalu bicara soal demokrasi terkait dengan meme puan berbadan tikus. dia berpendapat semestinya seluruh partai politik pahamâ€œini kritik yang tepat  ranah yang demokratis  dan harusnya seluruh partai politik paham betul bahwa dalam negara demokrasi yang paling tinggi adalah kedaulatan rakyat  bukan cuma kedaulatan oligarki "" ujar melki""kita tidak melihat suara-suara penting terkait penolakan cipta kerja dikumandangkan. malah mengesahkan produk hukum yang inkonstitusional. itu yang sebenarnya ingin disampaikan dari publikasi tersebut "" imbuh dia sumber: detik","bem ui menyebut meme itu bukan sebuah umpatan  melainkan kritik yang tepat""bagi saya itu bukan sebuah umpatan  tapi itu adalah kritik yang tepat "" kata ketua bem ui melki sedek huang saat dihubungi  kamis (//)melki menegaskan meme puan berbadan tikus adalah ekspresi puncak kemarahan mahasiswa ui terkait disahkannya peraturan pemerintah pengganti undang-undang (perppu) cipta kerja  yang dinilai sama saja substansinya dengan uu cipta kerjaâ€œjadi visualisasi dan berbagai hal yang kami publikasikan itu menggambarkan seluruh kemarahan kita. bahwa orang-orang yang di dalam (dpr) itu bukan lagi mewakili kita  tapi mewakili berbagai kepentingan-kepentingan yang jelas bukan kepentingan rakyat. sehingga tidak pantas lagi mereka menggunakan kata-kata dewan perwakilan rakyat "" ucap melkimelki lalu bicara soal demokrasi terkait dengan meme puan berbadan tikus. dia berpendapat semestinya seluruh partai politik pahamâ€œini kritik yang tepat  ranah yang demokratis  dan harusnya seluruh partai politik paham betul bahwa dalam negara demokrasi yang paling tinggi adalah kedaulatan rakyat  bukan cuma kedaulatan oligarki "" ujar melki""kita tidak melihat suara-suara penting terkait penolakan cipta kerja dikumandangkan. malah mengesahkan produk hukum yang inkonstitusional. itu yang sebenarnya ingin disampaikan dari publikasi tersebut "" imbuh dia sumber: detik","bem ui menyebut meme itu bukan sebuah umpatan  melainkan kritik yang tepat""bagi saya itu bukan sebuah umpatan  tapi itu adalah kritik yang tepat "" kata ketua bem ui melki sedek huang saat dihubungi  kamis (//)melki menegaskan meme puan berbadan tikus adalah ekspresi puncak kemarahan mahasiswa ui terkait disahkannya peraturan pemerintah pengganti undang-undang (perppu) cipta kerja  yang dinilai sama saja substansinya dengan uu cipta kerjaâ€œjadi visualisasi dan berbagai hal yang kami publikasikan itu menggambarkan seluruh kemarahan kita. bahwa orang-orang yang di dalam (dpr) itu bukan lagi mewakili kita  tapi mewakili berbagai kepentingan-kepentingan yang jelas bukan kepentingan rakyat. sehingga tidak pantas lagi mereka menggunakan kata-kata dewan perwakilan rakyat "" ucap melkimelki lalu bicara soal demokrasi terkait dengan meme puan berbadan tikus. dia berpendapat semestinya seluruh partai politik pahamâ€œini kritik yang tepat  ranah yang demokratis  dan harusnya seluruh partai politik paham betul bahwa dalam negara demokrasi yang paling tinggi adalah kedaulatan rakyat  bukan cuma kedaulatan oligarki "" ujar melki""kita tidak melihat suara-suara penting terkait penolakan cipta kerja dikumandangkan. malah mengesahkan produk hukum yang inkonstitusional. itu yang sebenarnya ingin disampaikan dari publikasi tersebut "" imbuh dia sumber: detik"
